Source;Target
CPSC217;CPSC219
DATA211;CPSC219
CPSC231;CPSC233
CPSC219;CPSC251
CPSC231;CPSC251
CPSC219;MATH271
MATH271;PHIL279
PHIL279;CPSC313
CPSC233;MATH271
MATH271;PHIL279
PHIL279;CPSC313
CPSC235;MATH271
MATH271;PHIL279
PHIL279;CPSC313
CPSC219;MATH271
MATH271;PHIL377
PHIL377;CPSC313
CPSC233;MATH271
MATH271;PHIL377
PHIL377;CPSC313
CPSC235;MATH271
MATH271;PHIL377
PHIL377;CPSC313
CPSC219;MATH273
MATH273;PHIL279
PHIL279;CPSC313
CPSC233;MATH273
MATH273;PHIL279
PHIL279;CPSC313
CPSC235;MATH273
MATH273;PHIL279
PHIL279;CPSC313
CPSC219;MATH273
MATH273;PHIL377
PHIL377;CPSC313
CPSC233;MATH273
MATH273;PHIL377
PHIL377;CPSC313
CPSC235;MATH273
MATH273;PHIL377
PHIL377;CPSC313
CPSC219;CPSC319
CPSC233;CPSC319
CPSC235;CPSC319
ENCM335;CPSC319
ENCM339;CPSC319
ENSF337;CPSC319
CPSC219;MATH249
MATH249;CPSC251
CPSC251;PHIL279
PHIL279;CPSC329
CPSC219;MATH249
MATH249;CPSC251
CPSC251;PHIL377
PHIL377;CPSC329
CPSC219;CPSC251
CPSC251;MATH265
MATH265;PHIL279
PHIL279;CPSC329
CPSC219;CPSC251
CPSC251;MATH265
MATH265;PHIL377
PHIL377;CPSC329
CPSC219;CPSC251
CPSC251;MATH275
MATH275;PHIL279
PHIL279;CPSC329
CPSC219;CPSC251
CPSC251;MATH275
MATH275;PHIL377
PHIL377;CPSC329
CPSC233;MATH249
MATH249;CPSC251
CPSC251;PHIL279
PHIL279;CPSC329
CPSC233;MATH249
MATH249;CPSC251
CPSC251;PHIL377
PHIL377;CPSC329
CPSC233;CPSC251
CPSC251;MATH265
MATH265;PHIL279
PHIL279;CPSC329
CPSC233;CPSC251
CPSC251;MATH265
MATH265;PHIL377
PHIL377;CPSC329
CPSC233;CPSC251
CPSC251;MATH275
MATH275;PHIL279
PHIL279;CPSC329
CPSC233;CPSC251
CPSC251;MATH275
MATH275;PHIL377
PHIL377;CPSC329
CPSC235;MATH249
MATH249;CPSC251
CPSC251;PHIL279
PHIL279;CPSC329
CPSC235;MATH249
MATH249;CPSC251
CPSC251;PHIL377
PHIL377;CPSC329
CPSC235;CPSC251
CPSC251;MATH265
MATH265;PHIL279
PHIL279;CPSC329
CPSC235;CPSC251
CPSC251;MATH265
MATH265;PHIL377
PHIL377;CPSC329
CPSC235;CPSC251
CPSC251;MATH275
MATH275;PHIL279
PHIL279;CPSC329
CPSC235;CPSC251
CPSC251;MATH275
MATH275;PHIL377
PHIL377;CPSC329
CPSC219;CPSC251
CPSC251;CPSC331
CPSC233;CPSC251
CPSC251;CPSC331
CPSC235;CPSC251
CPSC251;CPSC331
CPSC251;ENCM335
ENCM335;CPSC331
CPSC251;ENCM339
ENCM339;CPSC331
CPSC251;ENSF337
ENSF337;CPSC331
CPSC219;MATH271
MATH271;CPSC331
CPSC233;MATH271
MATH271;CPSC331
CPSC235;MATH271
MATH271;CPSC331
MATH271;ENCM335
ENCM335;CPSC331
MATH271;ENCM339
ENCM339;CPSC331
MATH271;ENSF337
ENSF337;CPSC331
CPSC219;MATH273
MATH273;CPSC331
CPSC233;MATH273
MATH273;CPSC331
CPSC235;MATH273
MATH273;CPSC331
MATH273;ENCM335
ENCM335;CPSC331
MATH273;ENCM339
ENCM339;CPSC331
MATH273;ENSF337
ENSF337;CPSC331
CPSC319;CPSC335
CPSC331;CPSC335
CPSC219;MATH249
MATH249;CPSC251
CPSC251;PHIL279
PHIL279;CPSC351
CPSC219;MATH249
MATH249;CPSC251
CPSC251;PHIL377
PHIL377;CPSC351
CPSC219;CPSC251
CPSC251;MATH265
MATH265;PHIL279
PHIL279;CPSC351
CPSC219;CPSC251
CPSC251;MATH265
MATH265;PHIL377
PHIL377;CPSC351
CPSC219;CPSC251
CPSC251;MATH275
MATH275;PHIL279
PHIL279;CPSC351
CPSC219;CPSC251
CPSC251;MATH275
MATH275;PHIL377
PHIL377;CPSC351
CPSC233;MATH249
MATH249;CPSC251
CPSC251;PHIL279
PHIL279;CPSC351
CPSC233;MATH249
MATH249;CPSC251
CPSC251;PHIL377
PHIL377;CPSC351
CPSC233;CPSC251
CPSC251;MATH265
MATH265;PHIL279
PHIL279;CPSC351
CPSC233;CPSC251
CPSC251;MATH265
MATH265;PHIL377
PHIL377;CPSC351
CPSC233;CPSC251
CPSC251;MATH275
MATH275;PHIL279
PHIL279;CPSC351
CPSC233;CPSC251
CPSC251;MATH275
MATH275;PHIL377
PHIL377;CPSC351
CPSC235;MATH249
MATH249;CPSC251
CPSC251;PHIL279
PHIL279;CPSC351
CPSC235;MATH249
MATH249;CPSC251
CPSC251;PHIL377
PHIL377;CPSC351
CPSC235;CPSC251
CPSC251;MATH265
MATH265;PHIL279
PHIL279;CPSC351
CPSC235;CPSC251
CPSC251;MATH265
MATH265;PHIL377
PHIL377;CPSC351
CPSC235;CPSC251
CPSC251;MATH275
MATH275;PHIL279
PHIL279;CPSC351
CPSC235;CPSC251
CPSC251;MATH275
MATH275;PHIL377
PHIL377;CPSC351
CPSC219;CPSC355
CPSC233;CPSC355
CPSC235;CPSC355
PHIL279;CPSC355
CPSC355;CPSC359
CPSC355;PHIL377
PHIL377;CPSC359
SENG300;CPSC405
SENG301;CPSC405
CPSC355;CPSC409
CPSC319;CPSC355
CPSC355;CPSC411
CPSC319;ENCM369
ENCM369;CPSC411
CPSC331;CPSC355
CPSC355;CPSC411
CPSC331;ENCM369
ENCM369;CPSC411
MATH211;MATH249
MATH249;CPSC313
CPSC313;CPSC331
CPSC331;CPSC413
MATH211;MATH265
MATH265;CPSC313
CPSC313;CPSC331
CPSC331;CPSC413
MATH211;MATH275
MATH275;CPSC313
CPSC313;CPSC331
CPSC331;CPSC413
MATH213;MATH249
MATH249;CPSC313
CPSC313;CPSC331
CPSC331;CPSC413
MATH213;MATH265
MATH265;CPSC313
CPSC313;CPSC331
CPSC331;CPSC413
MATH213;MATH275
MATH275;CPSC313
CPSC313;CPSC331
CPSC331;CPSC413
MATH211;MATH249
MATH249;CPSC331
CPSC331;CPSC351
CPSC351;CPSC413
MATH211;MATH265
MATH265;CPSC331
CPSC331;CPSC351
CPSC351;CPSC413
MATH211;MATH275
MATH275;CPSC331
CPSC331;CPSC351
CPSC351;CPSC413
MATH213;MATH249
MATH249;CPSC331
CPSC331;CPSC351
CPSC351;CPSC413
MATH213;MATH265
MATH265;CPSC331
CPSC331;CPSC351
CPSC351;CPSC413
MATH213;MATH275
MATH275;CPSC331
CPSC331;CPSC351
CPSC351;CPSC413
CPSC331;CPSC351
CPSC351;CPSC418
MATH271;CPSC331
CPSC331;CPSC418
MATH273;CPSC331
CPSC331;CPSC418
MATH315;CPSC331
CPSC331;CPSC418
PMAT315;CPSC331
CPSC331;CPSC418
PHIL279;CPSC313
CPSC313;CPSC433
PHIL377;CPSC313
CPSC313;CPSC433
PHIL279;CPSC351
CPSC351;CPSC433
PHIL377;CPSC351
CPSC351;CPSC433
CPSC319;CPSC355
CPSC355;CPSC441
CPSC319;ENCM369
ENCM369;CPSC441
CPSC331;CPSC355
CPSC355;CPSC441
CPSC331;ENCM369
ENCM369;CPSC441
PHIL279;CPSC319
CPSC319;CPSC449
CPSC319;PHIL377
PHIL377;CPSC449
PHIL279;CPSC331
CPSC331;CPSC449
CPSC331;PHIL377
PHIL377;CPSC449
MATH211;MATH253
MATH253;CPSC319
CPSC319;CPSC453
MATH211;MATH267
MATH267;CPSC319
CPSC319;CPSC453
MATH211;MATH277
MATH277;CPSC319
CPSC319;CPSC453
MATH211;MATH283
MATH283;CPSC319
CPSC319;CPSC453
MATH211;AMAT219
AMAT219;CPSC319
CPSC319;CPSC453
MATH213;MATH253
MATH253;CPSC319
CPSC319;CPSC453
MATH213;MATH267
MATH267;CPSC319
CPSC319;CPSC453
MATH213;MATH277
MATH277;CPSC319
CPSC319;CPSC453
MATH213;MATH283
MATH283;CPSC319
CPSC319;CPSC453
MATH213;AMAT219
AMAT219;CPSC319
CPSC319;CPSC453
MATH211;MATH253
MATH253;CPSC331
CPSC331;CPSC453
MATH211;MATH267
MATH267;CPSC331
CPSC331;CPSC453
MATH211;MATH277
MATH277;CPSC331
CPSC331;CPSC453
MATH211;MATH283
MATH283;CPSC331
CPSC331;CPSC453
MATH211;AMAT219
AMAT219;CPSC331
CPSC331;CPSC453
MATH213;MATH253
MATH253;CPSC331
CPSC331;CPSC453
MATH213;MATH267
MATH267;CPSC331
CPSC331;CPSC453
MATH213;MATH277
MATH277;CPSC331
CPSC331;CPSC453
MATH213;MATH283
MATH283;CPSC331
CPSC331;CPSC453
MATH213;AMAT219
AMAT219;CPSC331
CPSC331;CPSC453
CPSC319;CPSC355
CPSC355;CPSC457
CPSC319;ENCM369
ENCM369;CPSC457
CPSC331;CPSC355
CPSC355;CPSC457
CPSC331;ENCM369
ENCM369;CPSC457
CPSC319;CPSC355
CPSC355;CPSC461
CPSC331;CPSC355
CPSC355;CPSC461
CPSC319;CPSC471
CPSC331;CPSC471
SENG300;CPSC481
SENG301;CPSC481
SENG480;CPSC481
DATA311;CPSC481
MATH211;MATH249
MATH249;CPSC319
CPSC319;CPSC491
MATH211;MATH265
MATH265;CPSC319
CPSC319;CPSC491
MATH211;MATH275
MATH275;CPSC319
CPSC319;CPSC491
MATH213;MATH249
MATH249;CPSC319
CPSC319;CPSC491
MATH213;MATH265
MATH265;CPSC319
CPSC319;CPSC491
MATH213;MATH275
MATH275;CPSC319
CPSC319;CPSC491
MATH211;MATH249
MATH249;CPSC331
CPSC331;CPSC491
MATH211;MATH265
MATH265;CPSC331
CPSC331;CPSC491
MATH211;MATH275
MATH275;CPSC331
CPSC331;CPSC491
MATH213;MATH249
MATH249;CPSC331
CPSC331;CPSC491
MATH213;MATH265
MATH265;CPSC331
CPSC331;CPSC491
MATH213;MATH275
MATH275;CPSC331
CPSC331;CPSC491
CPSC349;CPSC501
CPSC449;CPSC501
CPSC413;CPSC511
CPSC313;CPSC513
CPSC351;CPSC513
CPSC413;CPSC517
MATH211;CPSC413
CPSC413;CPSC518
MATH213;CPSC413
CPSC413;CPSC518
MATH311;CPSC413
CPSC413;CPSC519
MATH313;CPSC413
CPSC413;CPSC519
CPSC313;CPSC349
CPSC349;CPSC521
CPSC313;CPSC449
CPSC449;CPSC521
CPSC349;CPSC351
CPSC351;CPSC521
CPSC351;CPSC449
CPSC449;CPSC521
CPSC413;CPSC522
CPSC351;CPSC457
CPSC457;CPSC525
MATH271;CPSC457
CPSC457;CPSC525
MATH273;CPSC457
CPSC457;CPSC525
CPSC329;CPSC441
CPSC441;CPSC526
CPSC313;CPSC457
CPSC457;CPSC527
CPSC313;CPSC457
CPSC457;CPSC528
STAT205;MATH271
MATH271;CPSC351
CPSC351;CPSC530
STAT213;MATH271
MATH271;CPSC351
CPSC351;CPSC530
MATH271;STAT321
STAT321;CPSC351
CPSC351;CPSC530
STAT205;MATH273
MATH273;CPSC351
CPSC351;CPSC530
STAT213;MATH273
MATH273;CPSC351
CPSC351;CPSC530
MATH273;STAT321
STAT321;CPSC351
CPSC351;CPSC530
STAT205;MATH315
MATH315;CPSC351
CPSC351;CPSC530
STAT213;MATH315
MATH315;CPSC351
CPSC351;CPSC530
MATH315;STAT321
STAT321;CPSC351
CPSC351;CPSC530
STAT205;CPSC219
CPSC219;MATH271
MATH271;CPSC530
STAT213;CPSC219
CPSC219;MATH271
MATH271;CPSC530
CPSC219;MATH271
MATH271;STAT321
STAT321;CPSC530
STAT205;CPSC219
CPSC219;MATH273
MATH273;CPSC530
STAT213;CPSC219
CPSC219;MATH273
MATH273;CPSC530
CPSC219;MATH273
MATH273;STAT321
STAT321;CPSC530
STAT205;CPSC219
CPSC219;MATH315
MATH315;CPSC530
STAT213;CPSC219
CPSC219;MATH315
MATH315;CPSC530
CPSC219;MATH315
MATH315;STAT321
STAT321;CPSC530
STAT205;CPSC233
CPSC233;MATH271
MATH271;CPSC530
STAT213;CPSC233
CPSC233;MATH271
MATH271;CPSC530
CPSC233;MATH271
MATH271;STAT321
STAT321;CPSC530
STAT205;CPSC233
CPSC233;MATH273
MATH273;CPSC530
STAT213;CPSC233
CPSC233;MATH273
MATH273;CPSC530
CPSC233;MATH273
MATH273;STAT321
STAT321;CPSC530
STAT205;CPSC233
CPSC233;MATH315
MATH315;CPSC530
STAT213;CPSC233
CPSC233;MATH315
MATH315;CPSC530
CPSC233;MATH315
MATH315;STAT321
STAT321;CPSC530
STAT205;CPSC235
CPSC235;MATH271
MATH271;CPSC530
STAT213;CPSC235
CPSC235;MATH271
MATH271;CPSC530
CPSC235;MATH271
MATH271;STAT321
STAT321;CPSC530
STAT205;CPSC235
CPSC235;MATH273
MATH273;CPSC530
STAT213;CPSC235
CPSC235;MATH273
MATH273;CPSC530
CPSC235;MATH273
MATH273;STAT321
STAT321;CPSC530
STAT205;CPSC235
CPSC235;MATH315
MATH315;CPSC530
STAT213;CPSC235
CPSC235;MATH315
MATH315;CPSC530
CPSC235;MATH315
MATH315;STAT321
STAT321;CPSC530
MATH321;CPSC457
CPSC457;CPSC531
STAT205;CPSC457
CPSC457;CPSC531
STAT211;CPSC457
CPSC457;CPSC531
STAT213;CPSC457
CPSC457;CPSC531
STAT321;CPSC457
CPSC457;CPSC531
MATH311;CPSC535
MATH313;CPSC535
MATH331;CPSC535
MATH353;CPSC535
MATH376;CPSC535
AMAT307;CPSC535
AMAT311;CPSC535
PMAT331;CPSC535
CPSC433;CPSC544
CPSC441;CPSC457
CPSC457;CPSC550
CPSC441;CPSC457
CPSC457;CPSC559
CPSC413;CPSC561
CPSC217;CPSC565
CPSC231;CPSC565
DATA211;CPSC565
CPSC433;CPSC457
CPSC457;CPSC567
CPSC433;CPSC568
CPSC471;CPSC571
CPSC471;CPSC572
SENG300;CPSC575
SENG301;CPSC575
DATA311;CPSC575
CPSC453;CPSC577
CPSC481;CPSC581
CPSC319;CPSC583
CPSC331;CPSC583
DATA311;CPSC583
CPSC481;CPSC584
CPSC453;CPSC585
CPSC453;CPSC587
CPSC453;CPSC589
CPSC453;CPSC591
CPSC567;CPSC767
CPSC609;CPSC767
CPSC481;CPSC781
DATA201;DATA211
MATH271;MATH315
MATH273;MATH315
MATH211;MATH275
MATH275;MATH277
MATH213;MATH275
MATH275;MATH277
DATA201;DATA211
DATA211;DATA311
DATA201;CPSC217
CPSC217;DATA311
DATA201;CPSC231
CPSC231;DATA311
DATA201;CPSC235
CPSC235;DATA311
DATA201;ENDG233
ENDG233;DATA311
DATA201;ENGG233
ENGG233;DATA311
MATH211;MATH311
MATH213;MATH311
MATH267;STAT321
MATH277;STAT321
MATH211;MATH271
MATH213;MATH271
ENGG233;ENCM335
ENDG233;ENCM335
ENCM335;ENEL353
ENEL353;ENCM369
ENSF337;ENEL353
ENEL353;ENCM369
CPSC219;SENG300
CPSC233;SENG300
CPSC235;SENG300
MATH249;MATH267
MATH265;MATH267
MATH275;MATH267
MATH213;MATH313
MATH267;MATH376
MATH277;MATH376
CPSC233;MATH271
MATH271;ENEL353
ENGG233;ENSF337
ENDG233;ENSF337
